Covidence..,Study.ID,Title,Reviewer.Name,Does.the.study.include.a.socio.environmental.model.,Country...region.in.which.the.study.is.focused,Miscellaneous.Notes,Type.of.Model,Does.the.study.quantify.model.uncertainty.,How.does.this.model.quantify.uncertainty.,Does.the.model.uncertainty.approach.fall.into.any.of.the.following.categories.
288,Barhagh 2021,System dynamics to assess the effectiveness of restoration scenarios for the Urmia Lake: A prey-predator approach for the human-environment uncertain interactions,Reviewer1,Yes,Iran,,System dynamics model,Yes,Validation / cross-validation (using empirical data); Other: Monte Carlo simulation,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
288,Barhagh 2021,System dynamics to assess the effectiveness of restoration scenarios for the Urmia Lake: A prey-predator approach for the human-environment uncertain interactions,Reviewer2,Yes,Iran,,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
288,Barhagh 2021,System dynamics to assess the effectiveness of restoration scenarios for the Urmia Lake: A prey-predator approach for the human-environment uncertain interactions,Consensus,Yes,Iran,,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
287,Neumann 2021,Implementation of a watershed modelling framework to support adaptive management in the Canadian side of the Lake Erie basin,Reviewer1,Yes,Lake Erie,,System dynamics model,Yes,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues; Empirical data limitations
287,Neumann 2021,Implementation of a watershed modelling framework to support adaptive management in the Canadian side of the Lake Erie basin,Reviewer2,Yes,Canada,,System dynamics model,,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues; Empirical data limitations
287,Neumann 2021,Implementation of a watershed modelling framework to support adaptive management in the Canadian side of the Lake Erie basin,Consensus,Yes,Lake Erie,,System dynamics model,Yes,Validation / cross-validation (using empirical data),Model specification; Knowledge of the system; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues; Empirical data limitations
286,Carper 2021,Quantifying the transient shock response of dynamic agroecosystem variables for improved socio-environmental resilience,Reviewer1,Yes,Pakistan,,Biophysical model; Conceptual model (non-quantitative),Yes,Other: Behavior pattern-based sensitivity analysis,
286,Carper 2021,Quantifying the transient shock response of dynamic agroecosystem variables for improved socio-environmental resilience,Reviewer2,Yes,Pakistan,"biophysical-socioeconomic coupled model, not just a biophysical model",Biophysical model; Other: biophysical-socioeconomic coupled model,No,,
286,Carper 2021,Quantifying the transient shock response of dynamic agroecosystem variables for improved socio-environmental resilience,Consensus,Yes,Pakistan,coupled biophysical and socioeconomic model,Biophysical model; Other: coupled biophysical and socioeconomic model,Other: no,,
285,Farmani 2008,An evolutionary Bayesian belief network-based methodology for adaptive water management,Reviewer1,Yes,,,Other: Bayesian Belief Networks,No,,
285,Farmani 2008,An evolutionary Bayesian belief network-based methodology for adaptive water management,Reviewer2,Yes,,,System dynamics model; Conceptual model (non-quantitative),No,,
285,Farmani 2008,An evolutionary Bayesian belief network-based methodology for adaptive water management,Consensus,Yes,,,Other: Bayesian Belief Networks,No,,
280,Jin 2010,A multistage scenario-based inexact fuzzy-stochastic chance-constrained programming for water resources management under uncertainty,Reviewer1,Yes,N/A,No clear study area. Appears to use hypothetical requirements for model.,System dynamics model,No,,
280,Jin 2010,A multistage scenario-based inexact fuzzy-stochastic chance-constrained programming for water resources management under uncertainty,Reviewer2,Yes,"The model was tested on a case study with two reservoirs, but no location information.",,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system
280,Jin 2010,A multistage scenario-based inexact fuzzy-stochastic chance-constrained programming for water resources management under uncertainty,Consensus,Yes,N/A,No clear study area. Appears to use hypothetical requirements for model. Just uses intervals as a sensitivity analysis approach. ,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system
279,Carvajal 2019,Challenges for hydropower-based nationally determined contributions: a case study for Ecuador,Reviewer1,Yes,Ecuador,,System dynamics model,Yes,Sensitivity analysis using factorial design,Model specification; Knowledge of the system
279,Carvajal 2019,Challenges for hydropower-based nationally determined contributions: a case study for Ecuador,Reviewer2,Yes,Ecuador/South America,,System dynamics model,No,,
279,Carvajal 2019,Challenges for hydropower-based nationally determined contributions: a case study for Ecuador,Consensus,Yes,Ecuador,,System dynamics model,Yes,Sensitivity analysis using factorial design,Model specification; Knowledge of the system
275,Little 2019,"A tiered, system-of-systems modeling framework for resolving complex socio-environmental policy issues",Reviewer1,Yes,not specify,,Conceptual model (non-quantitative),Yes,"Other: For example, the adoption of integrated uncertainty assessment approaches which consider the various sources of uncertainty throughout the modeling process and their implications for the modeling purpose. ",Model specification; Knowledge of the system
275,Little 2019,"A tiered, system-of-systems modeling framework for resolving complex socio-environmental policy issues",Reviewer2,Yes,USA,,System dynamics model,Yes,Sensitivity analysis using factorial design,Knowledge of the system
275,Little 2019,"A tiered, system-of-systems modeling framework for resolving complex socio-environmental policy issues",Consensus,Yes,USA; specifically one example each in Chesapeake Bay and coastal Louisiana,,Conceptual model (non-quantitative),"Other: Yes (well, they outline how one might quantify uncertainty but don't do it themselves)","Sensitivity analysis using factorial design; Other: For example, the adoption of integrated uncertainty assessment approaches which consider the various sources of uncertainty throughout the modeling process and their implications for the modeling purpose. ",Model specification; Knowledge of the system
269,Grêt-Regamey 2013,Facing uncertainty in ecosystem services-based resource management,Reviewer1,Yes,Switzerland,,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
269,Grêt-Regamey 2013,Facing uncertainty in ecosystem services-based resource management,Reviewer2,Yes,Swiss Alps,,Other: The spatially explicit risk approach links Bayesian networks to a Geographic Information System for forecasting the value of a bundle of ecosystem services and quantifies the uncertainties related to the outcomes in a spatially explicit manner.,Yes, Sensitivity analysis; Other: Bayesian network updated by expert knowledge,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
269,Grêt-Regamey 2013,Facing uncertainty in ecosystem services-based resource management,Consensus,Yes,Switzerland,,System dynamics model; Other: The spatially explicit risk approach links Bayesian networks to a Geographic Information System for forecasting the value of a bundle of ecosystem services and quantifies the uncertainties related to the outcomes in a spatially explicit manner.,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
268,Viana 2021,A Decision Support System for Multidimensional Risk Evaluation of Natural Gas Pipelines,Reviewer1,Yes,unspecified,,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system
268,Viana 2021,A Decision Support System for Multidimensional Risk Evaluation of Natural Gas Pipelines,Reviewer2,No,,,,,,
268,Viana 2021,A Decision Support System for Multidimensional Risk Evaluation of Natural Gas Pipelines,Consensus,Yes,Not mention,,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system
267,Kocabas 2004,Sensitivity analysis of a GIS-based cellular automata model,Reviewer1,Yes,San Diego Bay Area,,Other: GIS-based cellular automata urban growth model,Yes, Sensitivity analysis,Model specification; Empirical data limitations
267,Kocabas 2004,Sensitivity analysis of a GIS-based cellular automata model,Reviewer2,Yes,US,,Biophysical model,Yes, Sensitivity analysis,Model specification; Knowledge of the system
267,Kocabas 2004,Sensitivity analysis of a GIS-based cellular automata model,Consensus,Yes,USA,Question: do we automatically consider CA models as ABMs?,Other: GIS-based cellular automata urban growth model,Yes, Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
266,Small 2018,A human-environmental network model for assessing coastal mitigation decisions informed by imperfect climate studies,Reviewer1,Yes,USA (NYC),,Other: Bayesian Network Model,Yes, Sensitivity analysis; Other: Markov Chain Monte Carlo with a diffuse conjugate prior distribution,Model specification; Knowledge of the system; Empirical data limitations
266,Small 2018,A human-environmental network model for assessing coastal mitigation decisions informed by imperfect climate studies,Reviewer2,Yes,United States,Focuses on New York City,Other: Bayesian network model,Yes, Sensitivity analysis,
266,Small 2018,A human-environmental network model for assessing coastal mitigation decisions informed by imperfect climate studies,Consensus,Yes,USA,,Other: Bayesian network model,Yes, Sensitivity analysis,Model specification; Knowledge of the system
264,Ren 2019,Spatially explicit simulation of land use/land cover changes: Current coverage and future prospects,Reviewer1,Yes,,review paper,Agent-based model; System dynamics model,No,,
264,Ren 2019,Spatially explicit simulation of land use/land cover changes: Current coverage and future prospects,Reviewer2,Yes,,,Agent-based model,Yes,Other: It highlights the importance of uncertainty quantification as a future direction for the field of LULC change modeling.,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
264,Ren 2019,Spatially explicit simulation of land use/land cover changes: Current coverage and future prospects,Consensus,Yes,,review paper,Agent-based model; System dynamics model,No,,
261,Pourmehdi 2020,Scenario-based design of a steel sustainable closed-loop supply chain network considering production technology,Reviewer1,Yes,Iran,,Other: Mathematical Model,Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
261,Pourmehdi 2020,Scenario-based design of a steel sustainable closed-loop supply chain network considering production technology,Reviewer2,Yes,Iran,,Other: Multi-objective optimization,Yes,Other: Stochastic programming,Knowledge of the system
261,Pourmehdi 2020,Scenario-based design of a steel sustainable closed-loop supply chain network considering production technology,Consensus,Yes,Iran,,Other: Multi-objective optimization,Yes,Other: Stochastic programming,Knowledge of the system; Empirical data limitations
257,Kelic 2013,Decision framework for evaluating the macroeconomic risks and policy impacts of cyber attacks,Reviewer1,No,,,,,,
257,Kelic 2013,Decision framework for evaluating the macroeconomic risks and policy impacts of cyber attacks,Reviewer2,Yes,,,"Agent-based model; Other: Multi-criteria decision analysis, macroeconomic modeling",Yes,Other: Scenario analysis,
257,Kelic 2013,Decision framework for evaluating the macroeconomic risks and policy impacts of cyber attacks,Consensus,No,,,,Other: ,,
256,Ferri 2015,An approach to urban regeneration by game theory and decisions,Reviewer1,No,,,,,,
256,Ferri 2015,An approach to urban regeneration by game theory and decisions,Reviewer2,No,,,,,,
256,Ferri 2015,An approach to urban regeneration by game theory and decisions,Consensus,No,,,,,,
250,Hansen 2007,An adaptive land-use simulation model for integrated coastal zone planning,Reviewer1,Yes,Denmark,,Other: cell-based simulation approach,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Spatial and temporal scale issues; Empirical data limitations
250,Hansen 2007,An adaptive land-use simulation model for integrated coastal zone planning,Reviewer2,Yes,European coastal zone,,Conceptual model (non-quantitative),No,,
250,Hansen 2007,An adaptive land-use simulation model for integrated coastal zone planning,Consensus,Yes,European coastal zone,,Other: cell-based simulation approach,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Spatial and temporal scale issues; Empirical data limitations
246,Convertino 2014,Optimal surveillance system design for outbreak source detection maximization: A vol model,Reviewer1,Yes,"United States, Mexico",,Other: traceback model,Yes, Sensitivity analysis; Other: Global sensitivity and uncertainty analysis,Knowledge of the system
246,Convertino 2014,Optimal surveillance system design for outbreak source detection maximization: A vol model,Reviewer2,Yes,US,,System dynamics model,, Sensitivity analysis,Model specification
246,Convertino 2014,Optimal surveillance system design for outbreak source detection maximization: A vol model,Consensus,Yes,USA,,Other: traceback model of disease outbreak,Yes, Sensitivity analysis; Other: Global sensitivity and uncertainty analysis,Model specification; Knowledge of the system
244,Strickert 2009,Resilience models for New Zealand's Alpine Skiers based on people's knowledge and experience: A mixed method and multi-step fuzzy cognitive mapping approach,Reviewer1,Yes,New Zealand,,Conceptual model (non-quantitative); Other: mixed methods,No,,
244,Strickert 2009,Resilience models for New Zealand's Alpine Skiers based on people's knowledge and experience: A mixed method and multi-step fuzzy cognitive mapping approach,Reviewer2,Yes,New Zealand,,Other: Multi-step fuzzy cognitive mapping approach,No,,
244,Strickert 2009,Resilience models for New Zealand's Alpine Skiers based on people's knowledge and experience: A mixed method and multi-step fuzzy cognitive mapping approach,Consensus,Yes,New Zealand,,Conceptual model (non-quantitative); Other: Multi-step fuzzy cognitive mapping approach (Artificial Neural Networks) ,No,,
