Covidence..,Study.ID,Title,Reviewer.Name,Does.the.study.include.a.socio.environmental.model.,Country...region.in.which.the.study.is.focused,Miscellaneous.Notes,Type.of.Model,Does.the.study.quantify.model.uncertainty.,How.does.this.model.quantify.uncertainty.,Does.the.model.uncertainty.approach.fall.into.any.of.the.following.categories.
210,Runfola 2013,"A growing concern? Examining the influence of lawn size on residential water use in suburban Boston, MA, USA",Consensus,Yes,USA,"Three models - regression, GEOMOD application to project urban growth, then application of the regression covariates. Only focused on the final one as it's what the study builds to. ","Other: GEOMOD seems most similar to a cellular automata model, and they use ordinary kriging to project water use",No,,
209,McDonald 2014,Water on an urban planet: Urbanization and the reach of urban water infrastructure,Reviewer1,Yes,Global,,Other: Summary statistics obtained from different water stress and other ancillary models,No,,
209,McDonald 2014,Water on an urban planet: Urbanization and the reach of urban water infrastructure,Reviewer2,Yes,global,,System dynamics model; Biophysical model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
209,McDonald 2014,Water on an urban planet: Urbanization and the reach of urban water infrastructure,Consensus,Yes,Global,,Biophysical model; Other: Summary statistics obtained from different water stress and other ancillary models,No,,
208,Thorel 2018,Socio-environmental implications of process-based restoration strategies in large rivers: should we remove novel ecosystems along the Rhone (France)?,Reviewer1,Yes,France,,Conceptual model (non-quantitative),No,Other: NA,Model specification; Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
208,Thorel 2018,Socio-environmental implications of process-based restoration strategies in large rivers: should we remove novel ecosystems along the Rhone (France)?,Reviewer2,Yes,France,,Conceptual model (non-quantitative),No,,
208,Thorel 2018,Socio-environmental implications of process-based restoration strategies in large rivers: should we remove novel ecosystems along the Rhone (France)?,Consensus,Yes,France,,Conceptual model (non-quantitative),No,,
206,Walker 2023,Predicting the geographic distribution of ancient Amazonian archaeological sites with machine learning,Reviewer1,Yes,Amazonia,,Other: Machine learning,Yes,Validation / cross-validation (using empirical data),
206,Walker 2023,Predicting the geographic distribution of ancient Amazonian archaeological sites with machine learning,Reviewer2,Yes,Amazonia ,,,Yes,Validation / cross-validation (using empirical data),Spatial and temporal scale issues
206,Walker 2023,Predicting the geographic distribution of ancient Amazonian archaeological sites with machine learning,Consensus,Yes,Amazonia ,,Other: Machine learning,Yes,Validation / cross-validation (using empirical data),Spatial and temporal scale issues
205,Jager 2022,Using Bayesian Belief Networks to Investigate Farmer Behavior and Policy Interventions for Improved Nitrogen Management,Reviewer1,Yes,Central Valley in California.,,Other:  Bayesian belief network,No,Validation / cross-validation (using empirical data); Other: Introduce Prediction Improvement Value,Model specification
205,Jager 2022,Using Bayesian Belief Networks to Investigate Farmer Behavior and Policy Interventions for Improved Nitrogen Management,Reviewer2,Yes,USA,,Other: Bayesian belief network,Yes,Validation / cross-validation (using empirical data); Other: Prediction Improvement Value,Empirical data limitations
205,Jager 2022,Using Bayesian Belief Networks to Investigate Farmer Behavior and Policy Interventions for Improved Nitrogen Management,Consensus,Yes,USA,,Other: Bayesian belief network,Yes,Validation / cross-validation (using empirical data); Other: Prediction Improvement Value,Model specification; Empirical data limitations
204,Pontius 2018,Lessons and Challenges in Land Change Modeling Derived from Synthesis of Cross-Case Comparisons,Reviewer1,No,,"This is more like a survey paper summarizing the challenges of Land Change under three themes: mapping, modeling, and learning.",They do not develop / use a model,No,Other:  Does not include model uncertainty,Other: Does not include model uncertainty
204,Pontius 2018,Lessons and Challenges in Land Change Modeling Derived from Synthesis of Cross-Case Comparisons,Reviewer2,No,,This is a chapter in a book that compares the uncertainties in the results of various studies.,Other,,,
204,Pontius 2018,Lessons and Challenges in Land Change Modeling Derived from Synthesis of Cross-Case Comparisons,Consensus,No,,This is a chapter in a book that compares the uncertainties in the results of various studies.,,Other: ,,
203,Magliocca 2015,From meta-studies to modeling: Using synthesis knowledge to build broadly applicable process-based land change models,Reviewer1,Yes,N/A,"this study describes how to create models, so may not qualify ",Conceptual model (non-quantitative),Yes,,Spatial and temporal scale issues
203,Magliocca 2015,From meta-studies to modeling: Using synthesis knowledge to build broadly applicable process-based land change models,Reviewer2,Yes,,,Agent-based model,Yes,Other: pattern-oriented modeling (POM),Model specification
203,Magliocca 2015,From meta-studies to modeling: Using synthesis knowledge to build broadly applicable process-based land change models,Consensus,Yes,N/A,"this study describes how to create models, so may not qualify ",Conceptual model (non-quantitative),Yes,Other: pattern-oriented modeling (POM),Model specification
201,Sterling 2019,"Try, try again: Lessons learned from success and failure in participatory modeling",Reviewer1,No,,"Reflection of a modeling approach, not an actual model",,,,
201,Sterling 2019,"Try, try again: Lessons learned from success and failure in participatory modeling",Reviewer2,Yes,"US, Costa Rica, France, Czech Republic, Austria, New Zealand, Solomon Islands, and Kenya",,Agent-based model; System dynamics model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
201,Sterling 2019,"Try, try again: Lessons learned from success and failure in participatory modeling",Consensus,No,,"Reflection of a modeling approach, not an actual model",,Other: ,,
200,Student 2020,A dynamic vulnerability approach for tourism destinations,Reviewer1,Yes,"Barbados, Curaco",,Agent-based model,No,,
200,Student 2020,A dynamic vulnerability approach for tourism destinations,Reviewer2,Yes,Caribbean islands of Barbados and Curac¸ao,,Conceptual model (non-quantitative),No,,
200,Student 2020,A dynamic vulnerability approach for tourism destinations,Consensus,Yes,Caribbean islands of Barbados and Curacao,,Agent-based model; Conceptual model (non-quantitative),No,,
198,Han 2022,Agent-based Modeling to Evaluate Human-Environment Interactions in Community Flood Risk Mitigation,Reviewer1,Yes,USA,,Agent-based model,Yes, Sensitivity analysis,Model specification
198,Han 2022,Agent-based Modeling to Evaluate Human-Environment Interactions in Community Flood Risk Mitigation,Reviewer2,Yes,USA,,Agent-based model,Yes,Sensitivity analysis using factorial design,Knowledge of the system; Spatial dependence & heterogeneity issues
198,Han 2022,Agent-based Modeling to Evaluate Human-Environment Interactions in Community Flood Risk Mitigation,Consensus,Yes,USA,,Agent-based model,Yes, Sensitivity analysis,Model specification
196,Hernández-Cedeño 2021,Social and environmental conflict analysis on energy projects: Bayesian predictive network approach,Reviewer1,Yes,Mexico ,,System dynamics model,No,Other: Does not quantify model uncertainty,Other: Does not quantify model uncertainty
196,Hernández-Cedeño 2021,Social and environmental conflict analysis on energy projects: Bayesian predictive network approach,Reviewer2,Yes,Mexico/South America,,Other: Diagnostic Bayesian Network,No,,
196,Hernández-Cedeño 2021,Social and environmental conflict analysis on energy projects: Bayesian predictive network approach,Consensus,Yes,Mexico ,"Do not quantify uncertainty, but the authors do acknowledge the limitations and employ some strategies to address uncertainty, e.g. incorporating expert judgement ",Other: Diagnostic Bayesian Network,No,,
195,Luus 2013,Representing ecological processes in agent-based models of land use and cover change,Reviewer1,Yes,Do not find it,,Agent-based model,No,Other: Does not quantify model uncertainty,Other: Does not quantify model uncertainty
195,Luus 2013,Representing ecological processes in agent-based models of land use and cover change,Reviewer2,No,,,,,,
195,Luus 2013,Representing ecological processes in agent-based models of land use and cover change,Consensus,No,,,,No,,
194,Alonzo 2021,Mapping and quantifying land cover dynamics using dense remote sensing time series with the user-friendly pyNITA software,Reviewer1,Yes,"Many; three case studies. Maryland, Colombia, and Ethiopia",,"Other: land change model ""Noise Insensitive Trajectory Algorithm""",Yes, Sensitivity analysis,Spatial and temporal scale issues; Computing limitations; Empirical data limitations
194,Alonzo 2021,Mapping and quantifying land cover dynamics using dense remote sensing time series with the user-friendly pyNITA software,Reviewer2,No,,,,,,
194,Alonzo 2021,Mapping and quantifying land cover dynamics using dense remote sensing time series with the user-friendly pyNITA software,Consensus,Other: yes,"US, Colombia, Ethiopia",,Other,Other: yes, Sensitivity analysis,Spatial and temporal scale issues; Computing limitations
192,Wimhurst 2023,Predicting commercial wind farm site suitability in the conterminous United States using a logistic regression model,Reviewer1,,USA,,Other: Logistic regression,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Spatial and temporal scale issues
192,Wimhurst 2023,Predicting commercial wind farm site suitability in the conterminous United States using a logistic regression model,Reviewer2,Yes,USA,,Other: Logistic Regression,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues; Empirical data limitations
192,Wimhurst 2023,Predicting commercial wind farm site suitability in the conterminous United States using a logistic regression model,Consensus,Yes,USA,,Other: Logistic regression,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues; Empirical data limitations
191,Wimhurst 2023,Using logistic regression-cellular automata to project future sites for commercial wind energy development,Reviewer1,Yes,USA,,System dynamics model,Yes, Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues
191,Wimhurst 2023,Using logistic regression-cellular automata to project future sites for commercial wind energy development,Reviewer2,Yes,US,,Other: Logistic Regression-Cellular Automata (LRCA),Yes,,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
191,Wimhurst 2023,Using logistic regression-cellular automata to project future sites for commercial wind energy development,Consensus,Yes,USA,,Other: Logistic Regression-Cellular Automata (LRCA),Yes, Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Empirical data limitations
190,Gopal 2018,Conceptual frameworks for the drivers and barriers of integrated sustainable solid waste management: A TISM approach,Reviewer1,Yes,India,,Other: TISM model,No,Other: States that it is for future research,
190,Gopal 2018,Conceptual frameworks for the drivers and barriers of integrated sustainable solid waste management: A TISM approach,Reviewer2,Yes,India,,Conceptual model (non-quantitative),No,,
190,Gopal 2018,Conceptual frameworks for the drivers and barriers of integrated sustainable solid waste management: A TISM approach,Consensus,Yes,India,,Conceptual model (non-quantitative),No,,
187,Ganguly 2021,A multifaceted risk assessment approach using statistical learning to evaluate socio-environmental factors associated with regional felony and misdemeanor rates,Reviewer1,No,New York,,Other: random forest,Yes,Validation / cross-validation (using empirical data),Model specification
187,Ganguly 2021,A multifaceted risk assessment approach using statistical learning to evaluate socio-environmental factors associated with regional felony and misdemeanor rates,Reviewer2,Yes,"The state of New York, United States",,Other: Statistical learning model,No,,
187,Ganguly 2021,A multifaceted risk assessment approach using statistical learning to evaluate socio-environmental factors associated with regional felony and misdemeanor rates,Consensus,No,New York,,,Other: ,,
185,Shahumyan 2017,"Integration of land use, land cover, transportation, and environmental impact models: Expanding scenario analysis with multiple modules",Reviewer1,Yes,USA,,Other: Coupling of different models,No,,
185,Shahumyan 2017,"Integration of land use, land cover, transportation, and environmental impact models: Expanding scenario analysis with multiple modules",Reviewer2,Yes,United States,,Other: Uses 5 coupled models and unsure how to categorize each,No,,
185,Shahumyan 2017,"Integration of land use, land cover, transportation, and environmental impact models: Expanding scenario analysis with multiple modules",Consensus,Yes,USA,,Other: Uses 5 coupled models and unsure how to categorize each,No,,
184,Magliocca 2019,Modeling cocaine traffickers and counterdrug interdiction forces as a complex adaptive system,Reviewer1,Yes,US,,Agent-based model,No,,
184,Magliocca 2019,Modeling cocaine traffickers and counterdrug interdiction forces as a complex adaptive system,Reviewer2,Yes,United States and Central America,Used agent-based model but not really any environmental,Agent-based model,Yes, Sensitivity analysis,
184,Magliocca 2019,Modeling cocaine traffickers and counterdrug interdiction forces as a complex adaptive system,Consensus,Yes,US,Used agent-based model but not really any environmental; only one mention of sensitivity analysis and it wasn't really specified how it was performed,Agent-based model,Yes, Sensitivity analysis,
182,Gower 2016,Modeling ecohydrological dynamics of smallholder strategies for food production in dryland agricultural systems,Reviewer1,Yes,"Mount Kenya, Kenya",,System dynamics model,No,,
182,Gower 2016,Modeling ecohydrological dynamics of smallholder strategies for food production in dryland agricultural systems,Reviewer2,Yes,Kenya,,Agent-based model,No,,
182,Gower 2016,Modeling ecohydrological dynamics of smallholder strategies for food production in dryland agricultural systems,Consensus,Yes,Kenya,,Agent-based model,No,,
180,Ali 2015,"Coupled Human-Environment Dynamics of Forest Pest Spread and Control in a Multi-Patch, Stochastic Setting",Reviewer1,Yes,Canada,,Biophysical model,Yes, Sensitivity analysis,Model specification
180,Ali 2015,"Coupled Human-Environment Dynamics of Forest Pest Spread and Control in a Multi-Patch, Stochastic Setting",Reviewer2,Yes,Canada,,System dynamics model,No,,
180,Ali 2015,"Coupled Human-Environment Dynamics of Forest Pest Spread and Control in a Multi-Patch, Stochastic Setting",Consensus,Yes,Canada,,System dynamics model; Biophysical model,Yes, Sensitivity analysis,Model specification
179,Tabasi 2022,Spatial Modeling of COVID-19 Prevalence Using Adaptive Neuro-Fuzzy Inference System,Reviewer1,Yes,Iran,,Other: adaptive neuro-fuzzy inference system (ANFIS),Yes, Sensitivity analysis,Model specification
179,Tabasi 2022,Spatial Modeling of COVID-19 Prevalence Using Adaptive Neuro-Fuzzy Inference System,Reviewer2,Yes,Iran,,Other:  adaptive neuro-fuzzy inference system and principal component analysis,Yes, Sensitivity analysis,
179,Tabasi 2022,Spatial Modeling of COVID-19 Prevalence Using Adaptive Neuro-Fuzzy Inference System,Consensus,Yes,Iran,,Other: Adaptive neuro-fuzzy inference system and principal component analysis,Yes, Sensitivity analysis,Model specification
178,Pontius 2010,Land transition estimates from erroneous maps,Reviewer1,Yes,"Plum Island Ecosystems Site, Massachusetts, USA",,Biophysical model,Yes, Sensitivity analysis,Model specification; Empirical data limitations
178,Pontius 2010,Land transition estimates from erroneous maps,Reviewer2,No,United States,,Other: Statistics,Yes, Sensitivity analysis,Empirical data limitations
178,Pontius 2010,Land transition estimates from erroneous maps,Consensus,No,,Overlays two maps then calculates land change - not really a model,,Other: ,,
177,Humphreys 2020,A geostatistical model for estimating edge effects and cumulative human disturbance in wetlands and coastal waters,Reviewer1,Yes,"Florida, USA",,Biophysical model; Other: Spatially explicit Bayesian hierarchical model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Knowledge of the system; Spatial and temporal scale issues; Spatial dependence & heterogeneity issues
177,Humphreys 2020,A geostatistical model for estimating edge effects and cumulative human disturbance in wetlands and coastal waters,Reviewer2,Yes,"Florida, USA",,System dynamics model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Spatial dependence & heterogeneity issues
177,Humphreys 2020,A geostatistical model for estimating edge effects and cumulative human disturbance in wetlands and coastal waters,Consensus,Yes,"Florida, USA",,Biophysical model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Spatial and temporal scale issues; Spatial dependence & heterogeneity issues
176,Shahriar 2012,Risk analysis for oil & gas pipelines: A sustainability assessment approach using fuzzy based bow-tie analysis,Reviewer1,Yes,None,,Other: bow-tie scenario analysis,Yes, Sensitivity analysis; Other: Fuzzy Logic,Model specification; Knowledge of the system; Empirical data limitations
176,Shahriar 2012,Risk analysis for oil & gas pipelines: A sustainability assessment approach using fuzzy based bow-tie analysis,Reviewer2,Yes,,,Other: ‘Bow-tie’ analysis,Yes, Sensitivity analysis; Other: Error propagation using fuzzy linguistic probabilities,Model specification; Knowledge of the system
176,Shahriar 2012,Risk analysis for oil & gas pipelines: A sustainability assessment approach using fuzzy based bow-tie analysis,Consensus,Yes,None,,Other: bow-tie scenario analysis,Yes, Sensitivity analysis; Other: Error propagation using fuzzy linguistic probabilities,Model specification; Knowledge of the system; Empirical data limitations
175,Chunara 2013,Assessing the Online Social Environment for Surveillance of Obesity Prevalence,Reviewer1,No,,,,,,
175,Chunara 2013,Assessing the Online Social Environment for Surveillance of Obesity Prevalence,Reviewer2,No,the United States,,Other: linear regression,Yes,Validation / cross-validation (using empirical data),Model specification
175,Chunara 2013,Assessing the Online Social Environment for Surveillance of Obesity Prevalence,Consensus,No,,,,Other: ,,
173,Rowan 2007,Development of an Integrated Modelling Framework to Investigate Environmental and Economic Management Objectives in an Irrigated Landscape,Reviewer1,Yes,Australia,,Agent-based model,No,,
173,Rowan 2007,Development of an Integrated Modelling Framework to Investigate Environmental and Economic Management Objectives in an Irrigated Landscape,Reviewer2,Yes,Australia,,System dynamics model,Yes,Sensitivity analysis using factorial design,Model specification
173,Rowan 2007,Development of an Integrated Modelling Framework to Investigate Environmental and Economic Management Objectives in an Irrigated Landscape,Consensus,Yes,Australia,,Agent-based model,No,,
172,Verhoog 2016,Modelling socio-ecological systems with MAIA: A biogas infrastructure simulation,Reviewer1,Yes,Netherlands,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system
172,Verhoog 2016,Modelling socio-ecological systems with MAIA: A biogas infrastructure simulation,Reviewer2,,Netherland,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system
172,Verhoog 2016,Modelling socio-ecological systems with MAIA: A biogas infrastructure simulation,Consensus,Yes,Netherlands,,Agent-based model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system
171,Guilsou 2023,Gaining Profound Knowledge of Cholera Outbreak: The Significance of the Allee Effect on Bacterial Population Growth and Its Implications for Human-Environment Health,Reviewer1,No,,not socio-environmental model? unsure,,,,
171,Guilsou 2023,Gaining Profound Knowledge of Cholera Outbreak: The Significance of the Allee Effect on Bacterial Population Growth and Its Implications for Human-Environment Health,Reviewer2,Yes,"Discusses Cameroon, but analysis is not specific to a location, just a mathematical model",,System dynamics model,Yes, Sensitivity analysis,Model specification; Empirical data limitations
171,Guilsou 2023,Gaining Profound Knowledge of Cholera Outbreak: The Significance of the Allee Effect on Bacterial Population Growth and Its Implications for Human-Environment Health,Consensus,Yes,,,System dynamics model; Other: Cholera disease spread model,Yes, Sensitivity analysis,Model specification; Empirical data limitations
168,Falconer 2020,Anaerobic Digestion of food waste: Eliciting sustainable water-energy-food nexus practices with Agent Based Modelling and visual analytics,Reviewer1,Yes,United Kingdom,,Agent-based model,Yes, Sensitivity analysis,Spatial and temporal scale issues; Empirical data limitations
168,Falconer 2020,Anaerobic Digestion of food waste: Eliciting sustainable water-energy-food nexus practices with Agent Based Modelling and visual analytics,Reviewer2,Yes,UK,,Agent-based model,No,,
168,Falconer 2020,Anaerobic Digestion of food waste: Eliciting sustainable water-energy-food nexus practices with Agent Based Modelling and visual analytics,Consensus,Yes,United Kingdom,,Agent-based model,Yes, Sensitivity analysis,Spatial and temporal scale issues; Empirical data limitations
167,Lin 2022,An investigation of coupled natural human systems using a two-way coupled agent-based modeling framework,Reviewer1,Yes,USA,,Agent-based model; System dynamics model,,Validation / cross-validation (using empirical data),Model specification
167,Lin 2022,An investigation of coupled natural human systems using a two-way coupled agent-based modeling framework,Reviewer2,Yes,United States,,Agent-based model; Conceptual model (non-quantitative),Yes, Sensitivity analysis,Spatial and temporal scale issues; Empirical data limitations
167,Lin 2022,An investigation of coupled natural human systems using a two-way coupled agent-based modeling framework,Consensus,Yes,USA,,Agent-based model; System dynamics model,Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Spatial and temporal scale issues; Empirical data limitations
166,Schirpke 2012,SPA-LUCC: Developing land-use/cover scenarios in mountain landscapes,Reviewer1,Yes,European Alps region,,Conceptual model (non-quantitative),No,,
166,Schirpke 2012,SPA-LUCC: Developing land-use/cover scenarios in mountain landscapes,Reviewer2,Yes,"Austria, France, Germany, Italy, and Switzerland ",,System dynamics model,Yes,Validation / cross-validation (using empirical data),Model specification
166,Schirpke 2012,SPA-LUCC: Developing land-use/cover scenarios in mountain landscapes,Consensus,Yes,"Austria, France, Germany, Italy, and Switzerland ",a stochastic allocation model,System dynamics model; Other: a stochastic allocation model (Spatial Allocation procedures of Land use/cover change (SPA-LUCC)),Yes,Validation / cross-validation (using empirical data),Model specification
164,Convertino 2016,Portfolio Decision Technology for Designing Optimal Syndemic Management Strategies,Reviewer1,Yes, (large Kolkata macroregio,,System dynamics model,Yes,Other: Monte Carlo simulations ,Model specification; Knowledge of the system; Computing limitations
164,Convertino 2016,Portfolio Decision Technology for Designing Optimal Syndemic Management Strategies,Reviewer2,Yes,,,"Biophysical model; Other: Combination of biophysical model, Multi-Criteria Disease Analysis model, and Pareto optimization model",Yes, Sensitivity analysis,Empirical data limitations
164,Convertino 2016,Portfolio Decision Technology for Designing Optimal Syndemic Management Strategies,Consensus,Yes,Kolkata,,"Biophysical model; Other: combination of biophysical, multi-criteria and Pareto-optimization models",Yes, Sensitivity analysis,Model specification; Empirical data limitations
162,VandeWalle 2022,In silico assessment of household level closed water cycles: Towards extreme decentralization,Reviewer1,Yes,Belgium,,System dynamics model,Yes, Sensitivity analysis,Model specification
162,VandeWalle 2022,In silico assessment of household level closed water cycles: Towards extreme decentralization,Reviewer2,Yes,Belgium,,Biophysical model,Yes, Sensitivity analysis,Model specification; Knowledge of the system
162,VandeWalle 2022,In silico assessment of household level closed water cycles: Towards extreme decentralization,Consensus,Yes,Belgium,,System dynamics model,Yes, Sensitivity analysis,Model specification; Knowledge of the system
161,Ghailani 2023,Developing sustainable management strategies in construction and demolition wastes using a q-rung orthopair probabilistic hesitant fuzzy set-based decision modelling approach,Reviewer1,Yes,Not specified,,Conceptual model (non-quantitative),Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Knowledge of the system; Empirical data limitations
161,Ghailani 2023,Developing sustainable management strategies in construction and demolition wastes using a q-rung orthopair probabilistic hesitant fuzzy set-based decision modelling approach,Reviewer2,Yes,n/a,Multiple-attribute decision-making for construction waste management,Conceptual model (non-quantitative); Other: Multiple-attribute decision-making,Yes," Sensitivity analysis; Other: Systematic modelling, Comparison analysis",Model specification; Knowledge of the system
161,Ghailani 2023,Developing sustainable management strategies in construction and demolition wastes using a q-rung orthopair probabilistic hesitant fuzzy set-based decision modelling approach,Consensus,Yes,Not specified,Multiple-attribute decision-making for construction waste management,"Conceptual model (non-quantitative); Other: Multi-attribute decision-making MADM methods: Fuzzy-weighted zero inconsistency (FWZIC) and
fuzzy decision by opinion score method (FDOSM)-based multiplicative multiple objective optimisation
by ratio analysis (MULTIMOORA) with the q-rung orthopair probabilistic hesitant fuzzy set (q-ROPHFS)",Yes,"Validation / cross-validation (using empirical data);  Sensitivity analysis; Other: Systematic modelling, Comparison analysis",Model specification; Knowledge of the system; Empirical data limitations
159,Diba 2019,Sustainable supplier selection for Satrec Vitalait Milk Company in Senegal using the novel grey relational analysis method,Reviewer1,Yes,Senegal,,Other: Deng's GRA model,Yes, Sensitivity analysis,
159,Diba 2019,Sustainable supplier selection for Satrec Vitalait Milk Company in Senegal using the novel grey relational analysis method,Reviewer2,Yes,Senegal,,Other: The study utilizes Grey Relational Analysis (GRA) for supplier selection and ranking based on multiple criteria. GRA is an analytical approach and not a simulation model,Yes,"Other: GRA is designed to find similarities between sets of data, not to perform in-depth uncertainty analysis. The study discusses the limitations of the Hurwicz criteria used with GRA but doesn't mention validation or sensitivity analysis for quantifying uncertainty within the GRA model itself.",Knowledge of the system; Empirical data limitations
159,Diba 2019,Sustainable supplier selection for Satrec Vitalait Milk Company in Senegal using the novel grey relational analysis method,Consensus,Yes,Senegal,,Other: The study utilizes Grey Relational Analysis (GRA) for supplier selection and ranking based on multiple criteria. GRA is an analytical approach and not a simulation model,Yes, Sensitivity analysis,Knowledge of the system; Empirical data limitations
158,Scholten 2017,Comparing multi-criteria decision analysis and integrated assessment to support long-term water supply planning,Reviewer1,Yes,Switzerland,,Other: Multi-criteria decision analysis,Yes,Other: Attribute uncertainty and scenarios,
158,Scholten 2017,Comparing multi-criteria decision analysis and integrated assessment to support long-term water supply planning,Reviewer2,Yes,"Zurich, Switzerland",,Other: Multi-criteria decision analysis,Yes,Other,Model specification; Knowledge of the system
158,Scholten 2017,Comparing multi-criteria decision analysis and integrated assessment to support long-term water supply planning,Consensus,Yes,Switzerland,,Other: Multi-criteria decision analysis,Yes,Other: Attribute uncertainty and scenarios,Model specification; Knowledge of the system
156,Pamucar 2021,A new intelligent MCDM model for HCW management: The integrated BWM-MABAC model based on D numbers,Reviewer1,Yes,The Public Enterprise Zdravstvo Brcko (Brcko Health System) ,,Other: MCDM model,Yes, Sensitivity analysis,Model specification
156,Pamucar 2021,A new intelligent MCDM model for HCW management: The integrated BWM-MABAC model based on D numbers,Reviewer2,Yes,Bosnia and Herzegovinia,,Other: MCDM-D methodology - a framework for making decisions with multiple criteria,Yes,Sensitivity analysis using factorial design,Knowledge of the system; Empirical data limitations
156,Pamucar 2021,A new intelligent MCDM model for HCW management: The integrated BWM-MABAC model based on D numbers,Consensus,Yes,Bosnia and Herzegovinia,,Other: MCDM-D methodology - a framework for making decisions with multiple criteria,Yes,Sensitivity analysis using factorial design,Model specification; Knowledge of the system; Empirical data limitations
155,Arvor 2021,Towards user-adaptive remote sensing: Knowledge-driven automatic classification of Sentinel-2 time series,Reviewer1,Yes,Brazil,,Other: Image classification model based on semantic descriptions,Yes,Validation / cross-validation (using empirical data),Model specification
155,Arvor 2021,Towards user-adaptive remote sensing: Knowledge-driven automatic classification of Sentinel-2 time series,Reviewer2,Yes,Brazil,,Conceptual model (non-quantitative); Other: Conceptual model which is then applied for analyzing remote sensing data,Yes,Validation / cross-validation (using empirical data),Spatial and temporal scale issues; Empirical data limitations
155,Arvor 2021,Towards user-adaptive remote sensing: Knowledge-driven automatic classification of Sentinel-2 time series,Consensus,Yes,Brazil,,Other: Conceptual model,Yes,Validation / cross-validation (using empirical data),Model specification; Spatial and temporal scale issues
153,Adeleye 2022,Long-term drivers and timing of accelerated vegetation changes in African biomes and their management implications,Reviewer1,Yes,Africa,,Other: Generalized additive model,No,,
153,Adeleye 2022,Long-term drivers and timing of accelerated vegetation changes in African biomes and their management implications,Reviewer2,No,,,,,,
153,Adeleye 2022,Long-term drivers and timing of accelerated vegetation changes in African biomes and their management implications,Consensus,Yes,Africa,,Other: Generalized additive model,No,,
152,Blanchard 2015,Implications of Using 2 m versus 30 m Spatial Resolution Data for Suburban Residential Land Change Modeling,Reviewer1,Yes,USA,,Other: GEOMOD (a pixel-based spatially explicit LUCC model),Yes,Validation / cross-validation (using empirical data);  Sensitivity analysis,Model specification; Spatial and temporal scale issues; Empirical data limitations
152,Blanchard 2015,Implications of Using 2 m versus 30 m Spatial Resolution Data for Suburban Residential Land Change Modeling,Reviewer2,Yes,"Lynnfield, Massachusetts, USA",,Biophysical model,Yes,Other: Map crosstabulation,Spatial and temporal scale issues
152,Blanchard 2015,Implications of Using 2 m versus 30 m Spatial Resolution Data for Suburban Residential Land Change Modeling,Consensus,Yes,"Lynnfield, Massachusetts, 
USA",,"Other: GEOMOD (a pixel based, 
spatially explicit model)",Yes, Sensitivity analysis,Spatial and temporal scale issues
151,Rodriguez-Gonzalez 2020,Effect of feedback loops on the sustainability and resilience of human-ecosystems,Reviewer1,Yes,conceptual society,,Other: deterministic predictive model,Yes,Other: feedback loop,Model specification
151,Rodriguez-Gonzalez 2020,Effect of feedback loops on the sustainability and resilience of human-ecosystems,Reviewer2,Yes,,,Other: Compartmental model,Yes, Sensitivity analysis,Knowledge of the system
151,Rodriguez-Gonzalez 2020,Effect of feedback loops on the sustainability and resilience of human-ecosystems,Consensus,Yes,Conceptual society,,Other: Compartmental model,Yes, Sensitivity analysis,Model specification
150,Lan 2019,A holistic design approach for residential net-zero energy buildings: A case study in Singapore,Reviewer1,Yes,Singapore,,Agent-based model,, Sensitivity analysis,Model specification
150,Lan 2019,A holistic design approach for residential net-zero energy buildings: A case study in Singapore,Reviewer2,Yes,Singapore,,Other: Multi-objective optimization,Yes, Sensitivity analysis,Model specification
150,Lan 2019,A holistic design approach for residential net-zero energy buildings: A case study in Singapore,Consensus,Yes,Singapore,,Other: Multi-objective optimization,Yes, Sensitivity analysis,Model specification
149,Pluchinotta 2020,Integrating Problem Structuring Methods And Concept-Knowledge Theory For An Advanced Policy Design: Lessons From A Case Study In Cyprus,Reviewer1,Yes,Republic of Cyprus,,Conceptual model (non-quantitative),No,,
